#     X1(T)     X2(T)
#cccccc.dddeeeeee.fff
     2.000     0.000
     1.999     0.050
     1.995     0.100
     1.989     0.150
     1.980     0.199
     1.969     0.249
     1.955     0.298
     1.939     0.346
     1.920     0.395
     1.898     0.442
     1.874     0.489
     1.848     0.536
     1.819     0.582
     1.787     0.626
     1.753     0.670
     1.715     0.713
     1.676     0.755
     1.633     0.796
     1.588     0.835
     1.540     0.873
     1.490     0.909
     1.436     0.943
     1.380     0.976
     1.321     1.007
     1.259     1.035
     1.194     1.061
     1.126     1.084
     1.055     1.105
     0.981     1.123
     0.904     1.137
     0.825     1.147
     0.742     1.153
     0.657     1.155
     0.568     1.152
     0.477     1.144
     0.384     1.129
     0.288     1.108
     0.190     1.079
     0.091     1.043
    -0.009     0.997
    -0.108     0.941
    -0.207     0.874
    -0.303     0.795
    -0.393     0.703
    -0.477     0.598
    -0.549     0.479
    -0.608     0.348
    -0.648     0.207
    -0.669     0.059
    -0.667    -0.091
    -0.643    -0.238
    -0.599    -0.377
    -0.538    -0.506
    -0.464    -0.622
    -0.380    -0.725
    -0.289    -0.815
    -0.193    -0.892
    -0.095    -0.957
     0.004    -1.011
     0.103    -1.056
     0.201    -1.092
     0.298    -1.120
     0.392    -1.141
     0.485    -1.155
     0.575    -1.163
     0.663    -1.166
     0.747    -1.164
     0.829    -1.158
     0.908    -1.148
     0.984    -1.134
     1.058    -1.117
     1.128    -1.097
     1.195    -1.074
     1.260    -1.048
     1.322    -1.020
     1.380    -0.990
     1.436    -0.957
     1.490    -0.923
     1.540    -0.887
     1.588    -0.850
     1.633    -0.811
     1.675    -0.771
     1.715    -0.729
     1.752    -0.687
     1.786    -0.643
     1.818    -0.598
     1.847    -0.553
     1.873    -0.507
     1.897    -0.460
     1.919    -0.412
     1.938    -0.364
     1.954    -0.316
     1.968    -0.267
     1.979    -0.218
     1.988    -0.168
     1.995    -0.118
     1.999    -0.068
     2.000    -0.018
     1.999     0.032
     1.995     0.082
     1.989     0.131
     1.980     0.181
     1.969     0.231
     1.955     0.280
     1.939     0.329
     1.920     0.377
     1.899     0.425
     1.875     0.472
     1.848     0.519
     1.819     0.565
     1.787     0.610
     1.753     0.654
     1.716     0.697
     1.676     0.739
     1.634     0.780
     1.588     0.820
     1.540     0.858
     1.489     0.895
     1.436     0.929
     1.379     0.962
     1.320     0.993
     1.257     1.022
     1.192     1.049
     1.123     1.072
     1.052     1.093
     0.978     1.111
     0.900     1.125
     0.820     1.136
     0.737     1.142
     0.650     1.144
     0.561     1.141
     0.469     1.133
     0.375     1.118
     0.278     1.096
     0.179     1.067
     0.079     1.029
    -0.021     0.982
    -0.122     0.925
    -0.221     0.856
    -0.317     0.775
    -0.407     0.681
    -0.490     0.573
    -0.560     0.451
    -0.616     0.318
    -0.654     0.175
    -0.670     0.026
    -0.664    -0.123
    -0.636    -0.269
    -0.589    -0.406
    -0.527    -0.532
    -0.451    -0.646
    -0.366    -0.746
    -0.275    -0.834
    -0.180    -0.909
    -0.083    -0.973
     0.016    -1.026
     0.114    -1.069
     0.211    -1.105
     0.307    -1.132
     0.401    -1.152
     0.492    -1.166
     0.581    -1.174
     0.668    -1.177
     0.752    -1.176
     0.833    -1.170
     0.912    -1.160
     0.987    -1.146
     1.060    -1.129
     1.130    -1.109
     1.197    -1.086
     1.261    -1.061
     1.322    -1.033
     1.381    -1.003
     1.436    -0.971
     1.489    -0.938
     1.540    -0.902
     1.587    -0.865
     1.632    -0.826
     1.674    -0.786
     1.714    -0.745
     1.751    -0.703
     1.785    -0.660
     1.817    -0.615
     1.846    -0.570
     1.872    -0.524
     1.896    -0.478
     1.918    -0.430
     1.937    -0.382
     1.953    -0.334
     1.967    -0.285
     1.979    -0.236
     1.988    -0.187
     1.994    -0.137
     1.998    -0.087
     1.999    -0.037
     1.998     0.013
     1.995     0.063
     1.989     0.113
     1.980     0.163
     1.969     0.212
     1.955     0.262
     1.939     0.311
     1.921     0.359
     1.899     0.407
     1.875     0.455
     1.849     0.502
     1.820     0.548
     1.788     0.593
     1.753     0.638
     1.716     0.681
     1.676     0.724
     1.634     0.765
     1.588     0.805
     1.540     0.843
     1.489     0.880
     1.435     0.916
     1.378     0.949
     1.318     0.980
     1.255     1.010
     1.190     1.036
     1.121     1.060
     1.049     1.082
     0.974     1.100
     0.896     1.114
     0.815     1.125
     0.731     1.132
     0.643     1.134
     0.553     1.130
     0.461     1.121
     0.365     1.106
     0.268     1.084
     0.168     1.054
     0.067     1.016
    -0.035     0.967
    -0.136     0.909
    -0.235     0.838
    -0.331     0.755
    -0.421     0.658
    -0.503     0.547
    -0.571     0.423
    -0.625     0.288
    -0.658     0.143
    -0.671    -0.006
    -0.661    -0.155
    -0.630    -0.299
    -0.580    -0.434
    -0.515    -0.558
    -0.438    -0.669
    -0.353    -0.767
    -0.262    -0.853
    -0.167    -0.926
    -0.071    -0.988
     0.027    -1.040
     0.124    -1.083
     0.220    -1.117
     0.315    -1.144
     0.408    -1.164
     0.499    -1.178
     0.587    -1.186
     0.673    -1.189
     0.756    -1.187
     0.837    -1.181
     0.915    -1.171
     0.989    -1.158
     1.062    -1.141
     1.131    -1.122
     1.197    -1.099
     1.261    -1.074
     1.322    -1.047
     1.380    -1.017
     1.436    -0.986
     1.489    -0.952
     1.539    -0.917
     1.586    -0.880
     1.631    -0.842
     1.673    -0.802
     1.712    -0.761
     1.749    -0.719
     1.783    -0.676
     1.815    -0.632
     1.844    -0.587
     1.871    -0.542
     1.895    -0.495
     1.916    -0.448
     1.936    -0.400
     1.952    -0.352
     1.966    -0.303
     1.978    -0.254
     1.987    -0.205
     1.993    -0.155
     1.997    -0.105
     1.999    -0.055
     1.998    -0.005
     1.994     0.045
     1.988     0.095
     1.980     0.145
     1.969     0.194
     1.955     0.244
     1.939     0.293
     1.921     0.342
     1.899     0.390
