#      TIME      X(T)      V(T)
#aaaaaa.bbbcccccc.dddeeeeee.fff
     0.000     1.000     0.000
     0.100     1.000    -0.084
     0.200     0.992    -0.168
     0.300     0.975    -0.252
     0.400     0.950    -0.335
     0.500     0.916    -0.416
     0.600     0.874    -0.495
     0.700     0.825    -0.572
     0.800     0.768    -0.646
     0.900     0.703    -0.715
     1.000     0.632    -0.780
     1.100     0.554    -0.839
     1.200     0.470    -0.891
     1.300     0.381    -0.937
     1.400     0.287    -0.974
     1.500     0.190    -1.002
     1.600     0.089    -1.021
     1.700    -0.013    -1.030
     1.800    -0.116    -1.029
     1.900    -0.218    -1.017
     2.000    -0.320    -0.995
     2.100    -0.420    -0.964
     2.200    -0.516    -0.923
     2.300    -0.608    -0.874
     2.400    -0.696    -0.817
     2.500    -0.777    -0.753
     2.600    -0.853    -0.682
     2.700    -0.921    -0.607
     2.800    -0.982    -0.527
     2.900    -1.034    -0.444
     3.000    -1.079    -0.358
     3.100    -1.115    -0.270
     3.200    -1.142    -0.180
     3.300    -1.160    -0.090
     3.400    -1.169     0.002
     3.500    -1.168     0.094
     3.600    -1.159     0.186
     3.700    -1.140     0.278
     3.800    -1.113     0.369
     3.900    -1.076     0.458
     4.000    -1.030     0.546
     4.100    -0.975     0.632
     4.200    -0.912     0.715
     4.300    -0.841     0.794
     4.400    -0.761     0.868
     4.500    -0.674     0.937
     4.600    -0.581     1.000
     4.700    -0.481     1.055
     4.800    -0.375     1.101
     4.900    -0.265     1.138
     5.000    -0.151     1.164
     5.100    -0.035     1.179
     5.200     0.083     1.182
     5.300     0.201     1.174
     5.400     0.319     1.154
     5.500     0.434     1.123
     5.600     0.546     1.081
     5.700     0.654     1.029
     5.800     0.757     0.968
     5.900     0.854     0.899
     6.000     0.944     0.824
     6.100     1.026     0.743
     6.200     1.101     0.657
     6.300     1.166     0.568
     6.400     1.223     0.476
     6.500     1.271     0.382
     6.600     1.309     0.287
     6.700     1.338     0.190
     6.800     1.357     0.093
     6.900     1.366    -0.005
     7.000     1.365    -0.103
     7.100     1.355    -0.201
     7.200     1.335    -0.298
     7.300     1.305    -0.396
     7.400     1.266    -0.492
     7.500     1.216    -0.588
     7.600     1.158    -0.681
     7.700     1.090    -0.773
     7.800     1.012    -0.862
     7.900     0.926    -0.946
     8.000     0.831    -1.026
     8.100     0.729    -1.100
     8.200     0.619    -1.167
     8.300     0.502    -1.225
     8.400     0.380    -1.273
     8.500     0.252    -1.310
     8.600     0.121    -1.335
     8.700    -0.012    -1.347
     8.800    -0.147    -1.346
     8.900    -0.281    -1.331
     9.000    -0.415    -1.303
     9.100    -0.545    -1.263
     9.200    -0.671    -1.211
     9.300    -0.792    -1.149
     9.400    -0.907    -1.078
     9.500    -1.015    -0.999
     9.600    -1.115    -0.914
     9.700    -1.206    -0.824
     9.800    -1.289    -0.731
     9.900    -1.362    -0.635
    10.000    -1.425    -0.537
    10.100    -1.479    -0.438
    10.200    -1.523    -0.339
    10.300    -1.557    -0.239
    10.400    -1.581    -0.139
    10.500    -1.595    -0.039
    10.600    -1.598     0.061
    10.700    -1.592     0.161
    10.800    -1.576     0.261
    10.900    -1.550     0.361
    11.000    -1.514     0.461
    11.100    -1.468     0.561
    11.200    -1.412     0.660
    11.300    -1.346     0.759
    11.400    -1.270     0.857
    11.500    -1.184     0.952
    11.600    -1.089     1.045
    11.700    -0.984     1.133
    11.800    -0.871     1.217
    11.900    -0.749     1.293
    12.000    -0.620     1.361
    12.100    -0.484     1.419
    12.200    -0.342     1.466
    12.300    -0.195     1.500
    12.400    -0.046     1.519
    12.500     0.106     1.523
    12.600     0.259     1.513
    12.700     0.410     1.487
    12.800     0.559     1.447
    12.900     0.703     1.394
    13.000     0.843     1.330
    13.100     0.976     1.255
    13.200     1.101     1.172
    13.300     1.219     1.083
    13.400     1.327     0.989
    13.500     1.426     0.892
    13.600     1.515     0.793
    13.700     1.594     0.693
    13.800     1.664     0.593
    13.900     1.723     0.494
    14.000     1.772     0.395
    14.100     1.812     0.297
    14.200     1.842     0.200
    14.300     1.862     0.104
    14.400     1.872     0.008
    14.500     1.873    -0.088
    14.600     1.864    -0.183
    14.700     1.846    -0.279
    14.800     1.818    -0.375
    14.900     1.780    -0.472
    15.000     1.733    -0.570
    15.100     1.676    -0.669
    15.200     1.609    -0.768
    15.300     1.532    -0.868
    15.400     1.446    -0.968
    15.500     1.349    -1.067
    15.600     1.242    -1.165
    15.700     1.126    -1.259
    15.800     1.000    -1.350
    15.900     0.865    -1.434
    16.000     0.721    -1.510
    16.100     0.570    -1.576
    16.200     0.413    -1.630
    16.300     0.250    -1.670
    16.400     0.083    -1.695
    16.500    -0.087    -1.703
    16.600    -0.257    -1.694
    16.700    -0.426    -1.669
    16.800    -0.593    -1.628
    16.900    -0.756    -1.572
    17.000    -0.913    -1.503
    17.100    -1.064    -1.424
    17.200    -1.206    -1.336
    17.300    -1.340    -1.243
    17.400    -1.464    -1.146
    17.500    -1.578    -1.046
    17.600    -1.683    -0.946
    17.700    -1.778    -0.847
    17.800    -1.862    -0.749
    17.900    -1.937    -0.653
    18.000    -2.003    -0.560
    18.100    -2.059    -0.469
    18.200    -2.106    -0.381
    18.300    -2.144    -0.295
    18.400    -2.173    -0.211
    18.500    -2.194    -0.128
    18.600    -2.207    -0.047
    18.700    -2.212     0.033
    18.800    -2.208     0.114
    18.900    -2.197     0.194
    19.000    -2.178     0.275
    19.100    -2.150     0.357
    19.200    -2.114     0.441
    19.300    -2.070     0.526
    19.400    -2.018     0.614
    19.500    -1.956     0.704
    19.600    -1.886     0.797
    19.700    -1.806     0.892
    19.800    -1.717     0.989
    19.900    -1.618     1.088
    20.000    -1.509     1.188
    20.100    -1.390     1.288
    20.200    -1.261     1.386
    20.300    -1.123     1.482
    20.400    -0.975     1.572
    20.500    -0.818     1.654
    20.600    -0.652     1.727
    20.700    -0.479     1.788
    20.800    -0.301     1.834
    20.900    -0.117     1.864
    21.000     0.069     1.876
    21.100     0.257     1.869
    21.200     0.444     1.843
    21.300     0.628     1.800
    21.400     0.808     1.742
    21.500     0.982     1.669
    21.600     1.149     1.586
    21.700     1.308     1.495
    21.800     1.457     1.398
    21.900     1.597     1.299
    22.000     1.727     1.199
    22.100     1.847     1.100
    22.200     1.957     1.004
    22.300     2.057     0.911
    22.400     2.148     0.823
    22.500     2.231     0.739
    22.600     2.305     0.660
    22.700     2.371     0.586
    22.800     2.429     0.516
    22.900     2.481     0.451
    23.000     2.526     0.389
    23.100     2.565     0.332
    23.200     2.598     0.277
    23.300     2.626     0.225
    23.400     2.648     0.176
    23.500     2.666     0.129
    23.600     2.679     0.083
    23.700     2.687     0.038
    23.800     2.691    -0.006
    23.900     2.690    -0.049
    24.000     2.685    -0.093
    24.100     2.676    -0.137
    24.200     2.662    -0.182
    24.300     2.644    -0.228
    24.400     2.621    -0.276
    24.500     2.594    -0.325
    24.600     2.561    -0.378
    24.700     2.523    -0.432
    24.800     2.480    -0.490
    24.900     2.431    -0.552
    25.000     2.376    -0.617
    25.100     2.314    -0.686
    25.200     2.246    -0.760
    25.300     2.170    -0.838
    25.400     2.086    -0.921
    25.500     1.994    -1.008
    25.600     1.893    -1.099
    25.700     1.783    -1.194
    25.800     1.664    -1.291
    25.900     1.535    -1.391
    26.000     1.396    -1.491
    26.100     1.246    -1.589
    26.200     1.087    -1.684
    26.300     0.919    -1.773
    26.400     0.742    -1.852
    26.500     0.557    -1.920
    26.600     0.365    -1.973
    26.700     0.167    -2.008
    26.800    -0.033    -2.025
    26.900    -0.236    -2.022
    27.000    -0.438    -1.998
    27.100    -0.638    -1.956
    27.200    -0.834    -1.896
    27.300    -1.023    -1.822
    27.400    -1.205    -1.737
    27.500    -1.379    -1.643
    27.600    -1.543    -1.545
    27.700    -1.698    -1.445
    27.800    -1.842    -1.346
    27.900    -1.977    -1.250
    28.000    -2.102    -1.158
    28.100    -2.218    -1.072
    28.200    -2.325    -0.992
    28.300    -2.424    -0.919
    28.400    -2.516    -0.853
    28.500    -2.601    -0.795
    28.600    -2.681    -0.743
    28.700    -2.755    -0.699
    28.800    -2.825    -0.661
    28.900    -2.891    -0.630
    29.000    -2.954    -0.605
    29.100    -3.015    -0.587
    29.200    -3.073    -0.574
    29.300    -3.131    -0.567
    29.400    -3.187    -0.566
    29.500    -3.244    -0.571
    29.600    -3.301    -0.581
    29.700    -3.359    -0.597
    29.800    -3.419    -0.618
    29.900    -3.481    -0.646
    30.000    -3.545    -0.679
